,delta_time
1953,21
1954,6
1955,6
1956,18
1957,20
1958,17
1959,10
1960,8
1961,33
1962,6
1963,10
1964,15
1965,8
1966,7
1967,9
1968,6
1969,14
1970,9
1971,14
1972,7
1973,14
1974,5
1975,7
1976,15
1977,8
1978,19
1979,5
1980,15
1981,6
1982,7
1983,7
1984,19
1985,9
1986,6
1987,9
1988,8
1989,8
1990,5
1991,5
1992,8
1993,26
1994,5
1995,9
1996,19
1997,24
1998,16
1999,8
2000,16
2001,8
2002,8
2003,19
2004,7
2005,20
2006,8
2007,15
2008,6
2009,9
2010,7
2011,8
2012,14
2013,7
2014,29
2015,13
2016,7
2017,8
2018,13
2019,19
2020,8
2021,14
2022,13
2023,14
2024,20
2025,6
2026,4
2027,19
2028,6
2029,13
2030,13
2031,4
2032,6
2033,14
2034,4
2035,6
2036,15
2037,18
2038,9
2039,22
2040,8
2041,8
2042,13
2043,8
2044,8
2045,8
2046,18
2047,18
2048,20
2049,13
2050,16
2051,19
2052,5
2053,19
2054,8
2055,26
2056,14
2057,7
2058,15
2059,22
2060,19
2061,8
2062,7
2063,3
2064,6
2065,19
2066,5
2067,19
2068,5
2069,7
2070,13
2071,14
2072,14
2073,18
2074,5
2075,31
2076,69
2077,6
2078,28
2079,39
2080,6
2081,22
2082,13
2083,13
2084,19
2085,27
2086,6
2087,17
2088,12
2089,20
2090,13
2091,21
2092,14
2093,51
2094,13
2095,12
2096,20
2097,20
2098,17
2099,12
2100,19
2101,12
2102,6
2103,7
2104,14
2105,7
2106,26
2107,15
2108,31
2109,12
2110,11
2111,6
2112,26
2113,26
2114,6
2115,30
2116,23
2117,11
2118,17
2119,26
2120,6
2121,6
2122,6
2123,12
2124,13
2125,23
2126,6
2127,20
2128,12
2129,16
2130,6
2131,11
2132,18
2133,13
2134,4
2135,6
2136,11
2137,11
2138,20
2139,4
2140,12
2141,24
2142,14
2143,12
2144,13
2145,16
2146,5
2147,5
2148,5
2149,5
2150,23
2151,22
2152,23
2153,15
2154,5
2155,23
2156,17
2157,19
2158,11
2159,11
2160,15
2161,4
2162,5
2163,4
2164,19
2165,5
2166,10
2167,22
2168,4
2169,16
2170,36
2171,18
2172,20
2173,4
2174,23
2175,17
2176,5
2177,3
2178,16
2179,12
2180,15
2181,14
2182,4
2183,37
2184,4
2185,10
2186,16
2187,9
2188,13
2189,3
2190,9
2191,15
2192,4
2193,15
2194,11
2195,18
2196,17
2197,29
2198,9
2199,11
2200,10
2201,14
2202,30
2203,4
2204,21
2205,45
2206,9
2207,14
2208,9
2209,3
2210,21
2211,25
2212,16
2213,17
2214,15
2215,9
2216,10
2217,22
2218,17
2219,11
2220,10
2221,10
2222,18
2223,17
2224,16
2225,4
2226,10
2227,14
2228,14
2229,29
2230,18
2231,3
2232,11
2233,59
2234,41
2235,10
2236,9
2237,9
2238,16
2239,2
2240,9
2241,9
2242,10
2243,16
2244,9
2245,3
2246,23
2247,10
2248,17
2249,10
2250,11
2251,15
2252,10
2253,10
2254,9
2255,8
2256,8
2257,35
2258,14
2259,9
2260,17
2261,16
2262,20
2263,3
2264,13
2265,8
2266,9
2267,13
2268,17
2269,10
2270,13
2271,14
2272,14
2273,27
2274,17
2275,13
2276,9
2277,3
2278,9
2279,29
2280,8
2281,14
2282,7
2283,8
2284,12
2285,9
2286,7
2287,14
2288,7
2289,8
2290,2
2291,8
2292,14
2293,12
2294,13
2295,34
2296,7
2297,35
2298,19
2299,13
2300,27
2301,9
2302,9
2303,13
2304,13
2305,8
2306,29
2307,12
2308,16
2309,9
2310,23
2311,15
2312,15
2313,10
2314,8
2315,16
2316,16
2317,16
2318,9
2319,9
2320,8
2321,30
2322,17
2323,8
2324,13
2325,16
2326,8
2327,12
2328,19
2329,13
2330,12
2331,7
2332,11
2333,7
2334,18
2335,7
2336,26
2337,13
2338,12
2339,19
2340,12
2341,21
2342,11
2343,8
2344,15
2345,19
2346,15
2347,8
2348,13
2349,22
2350,12
2351,12
2352,13
2353,11
2354,18
2355,7
2356,12
2357,6
2358,23
2359,11
2360,14
2361,8
2362,19
2363,11
2364,24
2365,12
2366,41
2367,13
2368,11
2369,15
2370,8
2371,11
2372,22
2373,14
2374,11
2375,18
2376,13
2377,12
2378,46
2379,13
2380,12
2381,12
2382,15
2383,12
2384,6
2385,5
2386,7
2387,18
2388,18
2389,12
2390,14
2391,13
2392,13
2393,20
2394,5
2395,21
2396,13
2397,12
2398,10
2399,11
2400,28
2401,13
2402,20
2403,10
2404,11
2405,11
2406,32
2407,12
2408,10
2409,19
2410,32
2411,7
2412,14
2413,15
2414,11
2415,34
2416,24
2417,17
2418,18
2419,17
2420,11
2421,10
2422,20
2423,17
2424,17
2425,15
2426,11
2427,12
2428,17
2429,7
2430,25
2431,15
2432,11
2433,7
2434,7
2435,14
2436,11
2437,21
2438,12
2439,18
2440,19
2441,17
2442,17
2443,17
2444,10
2445,17
2446,17
2447,6
2448,11
2449,17
2450,16
2451,25
2452,11
2453,17
2454,13
2455,11
2456,6
2457,11
2458,18
2459,13
2460,14
2461,12
2462,16
2463,13
2464,17
2465,10
2466,12
2467,11
2468,26
2469,14
2470,19
2471,20
2472,9
2473,24
2474,9
2475,23
2476,11
2477,13
2478,12
2479,10
2480,19
2481,23
2482,11
2483,17
2484,6
2485,25
2486,22
2487,40
2488,8
2489,9
2490,6
2491,5
2492,6
2493,27
2494,15
2495,12
2496,11
2497,12
2498,15
2499,11
2500,15
2501,15
2502,8
2503,19
2504,13
2505,23
2506,15
2507,8
2508,12
2509,18
2510,15
2511,10
2512,22
2513,12
2514,11
2515,10
2516,15
2517,8
2518,8
2519,12
2520,10
2521,4
2522,9
2523,10
2524,4
2525,11
2526,7
2527,23
2528,4
2529,12
2530,9
2531,11
2532,21
2533,4
2534,11
2535,35
2536,7
2537,9
2538,15
2539,7
2540,8
2541,16
2542,8
2543,11
2544,12
2545,7
2546,17
2547,11
2548,18
2549,4
2550,17
2551,8
2552,8
2553,36
2554,28
2555,4
2556,11
2557,10
2558,14
2559,15
2560,22
2561,13
2562,10
2563,15
2564,6
2565,6
2566,17
2567,6
2568,13
2569,22
2570,8
2571,9
