,W,DDD,product_count,distance
628,950,23625,1,606.9884523673356
629,5250,39780,1,288.3319888997869
630,100,8000,1,910.7232325560174
631,1700,33600,1,507.9502231089684
632,6800,30976,1,380.20223746543024
633,100,2560,1,414.9743495299005
634,1800,15960,1,521.705291984211
635,750,11400,1,470.3204817308612
636,1000,8750,1,304.1889438673277
637,5150,43200,4,169.1710487480632
638,900,3840,1,514.8225597655321
639,700,8575,1,632.0812440632976
640,1000,4901,1,507.9502231089684
641,5300,34263,1,570.1279923597277
642,150,1600,1,449.81412987366343
643,300,3840,1,359.66329035275345
644,2400,13020,1,579.35709879303
645,475,5040,1,85.38382681890104
646,579,4641,1,491.6155957452334
647,1800,40467,1,559.7856018982636
648,300,6776,1,294.60539764740554
649,2600,18480,1,0.0
650,443,4641,1,349.0869758576549
651,704,12650,1,497.1057476450656
652,600,352,1,388.475838321624
653,800,8910,1,221.78328940428054
654,1400,20000,1,295.7474647032192
655,150,2240,1,359.66329035275345
656,100,627,1,389.5596721103011
657,225,6300,1,221.78328940428054
658,2500,40467,1,421.58504333406654
659,125,1326,1,359.66329035275345
660,4100,14952,1,795.9281034128461
661,200,4096,2,509.71874800001257
662,340,1904,1,684.9174643569525
663,5950,46475,1,486.13219492372735
664,225,6300,1,304.1889438673277
665,500,6000,1,161.28400827097943
666,523,10000,1,780.3270488815978
667,9200,78400,1,371.55109528453323
668,475,5040,1,85.38382681890104
669,250,1920,1,507.9502231089684
670,3100,3971,6,400.0005962438963
671,2100,47089,1,507.9502231089684
672,2800,25600,1,509.71874800001257
673,443,4641,1,67.0410590822223
674,800,9240,1,254.55683391240623
675,200,880,1,10.639708401293388
676,663,8000,1,318.88547101867584
677,225,6300,1,0.0
678,1000,4901,1,497.1057476450656
679,150,2378,1,361.2135122872465
680,400,1024,1,720.303755324596
681,1400,8294,1,614.0324752745166
682,475,5040,1,326.6988513852071
683,200,352,1,0.0
684,3110,34056,1,659.3347930680249
685,443,4641,1,359.66329035275345
686,400,2940,1,475.55226914057283
687,400,14000,1,134.68243832660852
688,443,4641,1,0.0
689,7350,49000,1,98.75774347824245
690,1600,5130,1,732.2759588783247
691,200,4500,1,792.4012491398114
692,175,2880,1,294.2333985720693
693,100,8000,1,486.13219492372735
694,443,4641,1,359.66329035275345
695,650,6137,1,439.6637746720575
696,1600,5130,1,294.2333985720693
697,10225,2299,1,221.78328940428054
698,400,4536,2,613.8635937373532
699,2000,8184,1,331.594560503243
700,449,3724,1,366.41491925726734
701,800,8910,1,361.2135122872465
702,860,5236,1,630.2074404132082
703,200,352,2,204.1893516756756
704,341,5760,1,574.8018749064452
705,1400,15876,1,574.8018749064452
706,900,8000,1,304.1889438673277
707,1279,40320,1,359.66329035275345
708,341,5760,1,766.7749927820595
709,800,880,1,770.3487613773693
710,1225,14175,1,778.9039403707562
711,340,1904,1,335.0756317192631
712,18100,105600,1,574.8018749064452
713,341,5760,1,491.6155957452334
714,400,5120,1,303.36682528642996
715,1032,4080,1,495.03588420822166
716,500,2880,1,0.0
717,700,5000,1,0.0
718,579,4641,1,326.6988513852071
719,2400,13020,1,616.8888199387244
720,300,6400,1,449.81412987366343
721,1850,6000,1,646.7649892365072
722,275,2304,1,668.4923052272055
723,700,3840,3,792.5117490246154
724,300,5544,1,792.5117490246154
725,1500,9075,1,602.2563254522888
726,300,1428,1,520.1622332273037
727,200,3456,2,350.29068422767057
728,225,6300,1,507.9502231089684
729,5250,14060,1,403.58349976425916
730,300,11232,1,0.0
731,2300,10206,3,524.9849222619923
732,100,8000,1,389.5596721103011
733,5250,14060,1,86.4983157809169
734,1032,4080,1,175.55082086368975
735,200,4096,1,476.72099529710243
736,200,1800,1,695.3726494664733
737,500,7072,1,543.493840468884
738,27800,140000,1,706.9788236103936
